t,lyric
0,
18.949333333333357,漆器とメガネの光る街
24.400000000000006,河和田の誇り 煌めく道
30.592000000000013,小さな手に夢を握りしめ
35.67466666666667,希望の風を受けて走れ
42.34133333333335,河和田小学校 叫べ声高く
48.84800000000001,この地の魂 熱く燃え上がる
54.422666666666686,未来を描け 勇気を掲げ
60.54400000000001,響けこの歌 強く力強く
70.816,
79.16800000000003,朝陽が照らす 学びの窓
84.26133333333334,笑顔の中に生まれる鼓動
90.26133333333334,友と共に進む日々の中
95.70133333333334,信じる力 広がる空
102.34666666666666,河和田小学校 叫べ声高く
108.85333333333332,この地の魂 熱く燃え上がる
114.7946666666667,未来を描け 勇気を掲げ
120.55466666666669,響けこの歌 強く力強く
131.31200000000004,足跡重ねる 校庭の土
138.13333333333335,誇りを胸に刻むこの地
143.936,山も川も見守る視線
149.71200000000002,河和田の風に乗り進むんだ
158.2826666666667,河和田小学校 叫べ声高
164.41600000000003,この地の魂 熱く燃え上がる
170.352,未来を描け 勇気を掲げ
176.16,響けこの歌 強く力強く
186.46400000000003,
